frequency,feature_set,model,RMSE,R2,MAE,same_window_baseline,baseline_RMSE,baseline_R2,RMSE_improvement_pct
daily,History + Strava summary + edge PCA,HistGradientBoosting,34.75539835961745,0.5855155150505795,21.88345061230184,Seasonal naive,44.03840315430332,0.334532480362175,21.079340143555488
hourly,History + Strava summary + edge PCA,HistGradientBoosting,2.989552663403588,0.6312507630735191,1.2514958642148113,Previous observation,3.627961585127094,0.456944678917655,17.596904122157113
monthly,History + Strava summary + edge PCA,HistGradientBoosting,142.55913054252656,0.6193287625649737,41.940526911909394,Seasonal naive,137.22632614192634,0.6472761218793202,-3.8861379959154276
yearly,History + Strava summary + edge PCA,Random Forest,1070.3418195839397,0.3152421237980897,444.7998188338512,Previous observation,1270.871491984711,0.034626610193064566,15.778910272635471
