location,feature_set,model,n,MAE,RMSE,R2,sMAPE_pct,bias
Elm Ridge,History only,HistGradientBoosting,11,439.4879204081941,585.4349296731018,0.6826861205888596,99.76748276113698,-304.4043299169273
Elm Ridge,Baseline,Seasonal naive,11,570.9090909090909,798.6087903347922,0.4095270875710514,97.38028557391858,-85.63636363636364
Elm Ridge,History only,Random Forest,11,754.1873355256452,1138.7610907930966,-0.2005964269589604,111.4278833767927,-754.1873355256452
Elm Ridge,History + relevant Strava edges,Random Forest,11,851.8291221265325,1224.049405693133,-0.3871700445291377,105.8886192238029,-797.2056040073221
Elm Ridge,History + relevant Strava edges,HistGradientBoosting,11,950.5089750438027,1304.9257081548878,-0.5765341455894781,134.8511010359636,-907.7778730655481
Elm Ridge,History + relevant Strava edges,Ridge,11,97346.86771755833,216952.22163087784,-43576.269113076356,161.83488974776841,96910.9211869691
Elm Ridge,History only,Ridge,11,167502.68251965859,386614.3878510622,-138383.6219233492,151.35161726008707,167097.5934153249
