Shandaken Wild Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCHESTER HOLLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,10 Year Rolling Averages,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,10-YEAR-AVG-2015,10-YEAR-AVG-2016,10-YEAR-AVG-2017,10-YEAR-AVG-2018,10-YEAR-AVG 2019,10-YEAR-AVG-2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046
January,96,102,157,93,,,,,,,,,,,50,50,53,,,39,,82,56,59,88,71.53333333333333,96,76,78,91,146,41,99,51,,,,,,,,,,,,,,,,,,,112,117.33333333333333,125,93,,50,50,51,51,51,48,48,54.8,55,55.57142857142857,61,64.07619047619048,70.21904761904761,70.94166666666666,71.72592592592592,77.5037037037037,84.35333333333332,80.25333333333333,84.55333333333333,83.75333333333333,83.28148148148148,84.75,83.14285714285714,84.33333333333333,85.6,84.25,63.666666666666664,75,51,,,,,,,,,,,,,
February,183,123,126,105,,,,,,,,,,,59,36,45,,,26,,49,52,85,106,86.13333333333333,156,100,85,75,80,96,94,89,,,,,,,,,,,,,,,,,,,134.25,118,115.5,105,,59,47.5,46.666666666666664,46.666666666666664,46.666666666666664,41.5,41.5,43,44.5,50.285714285714285,57,64.16190476190476,80.01904761904761,82.51666666666667,82.7925925925926,88.23703703703704,87.41333333333333,92.11333333333333,96.31333333333333,96.71333333333334,95.68148148148148,96.875,88.42857142857143,86.5,86.8,89.75,93,91.5,89,,,,,,,,,,,,,
March,244,148,47,73,,,,,,,,,,,61,43,52,,,28,,82,84,60,43,55.73333333333333,50,112,98,133,92,87,79,117,,,,,,,,,,,,,,,,,,,128,89.33333333333333,60,73,,61,52,52,52,52,46,46,53.2,58.333333333333336,58.57142857142857,56,57.81904761904762,57.53333333333334,64.34166666666667,68.08148148148149,79.74814814814815,80.97333333333333,81.47333333333333,80.97333333333333,86.67333333333333,91.52592592592593,96,102.57142857142857,101,101.6,93.75,94.33333333333333,98,117,,,,,,,,,,,,,
April,304,180,143,171,,,,,,,,,,,19,40,41,,,40,,37,64,123,121,107.06666666666666,137,105,94,79,169,148,148,99,,,,,,,,,,,,,,,,,,,199.5,164.66666666666666,157,171,,19,29.5,33.333333333333336,33.333333333333336,33.333333333333336,35,35,35.4,40.166666666666664,52,66.57142857142857,76.15238095238094,89.86666666666666,91.75833333333333,92.0074074074074,96.34074074074073,103.60666666666665,114.70666666666666,123.10666666666665,120.70666666666666,120.67407407407407,122.375,120.28571428571429,122.83333333333333,128.6,141,131.66666666666666,123.5,99,,,,,,,,,,,,,
May,472,717,487,498,,,,,,,,,,,44,41,74,,,73,,,86,146,135,130.41666666666666,123,170,170,219,154,169,113,182,,,,,,,,,,,,,,,,,,,543.5,567.3333333333334,492.5,498,,44,42.5,53,53,53,58,58,58,63.6,77.33333333333333,92.5,107.40277777777777,115.56944444444444,123.34523809523809,129.17708333333331,147.42708333333331,148.1574074074074,150.24166666666665,152.94166666666666,156.54166666666666,158.93518518518516,162.5,168.14285714285714,167.83333333333334,167.4,154.5,154.66666666666666,147.5,182,,,,,,,,,,,,,
June,505,291,391,356,,,,,,,,,,,47,46,62,,,56,,,75,125,160,130.16666666666666,136,176,157,206,239,161,131,113,,,,,,,,,,,,,,,,,,,385.75,346,373.5,356,,47,46.5,51.666666666666664,51.666666666666664,51.666666666666664,52.75,52.75,52.75,57.2,68.5,87.33333333333333,101.3611111111111,113.69444444444444,122.59523809523809,126.89583333333333,145.64583333333331,156.0185185185185,156.51666666666665,162.11666666666665,160.91666666666666,161.0185185185185,164.875,169,167.83333333333334,170,161,135,122,113,,,,,,,,,,,,,
July,696,637,717,506,,,,,,,,,,,45,54,117,,,107,,,131,159,248,190.25,236,202,248,215,276,283,242,229,,,,,,,,,,,,,,,,,,,639,620,611.5,506,,45,49.5,72,72,72,80.75,80.75,80.75,90.8,102.16666666666667,136,158.70833333333334,178.54166666666666,181.89285714285714,190.15625,203.65625,211.69444444444446,218.825,229.925,236.925,235.69444444444446,241.375,242.14285714285714,248.83333333333334,249,257.5,251.33333333333334,235.5,229,,,,,,,,,,,,,
August,721,826,649,842,,,,,,,,,,89,44,93,100,,,86,,17,138,183,279,201.79999999999998,231,211,142,247,278,187,229,261,,,,,,,,,,,,,,,,,,,759.5,772.3333333333334,745.5,842,89,66.5,75.33333333333333,81.5,81.5,81.5,82.4,82.4,71.5,81,94.42857142857143,128,143.54285714285714,162.25714285714284,168.35,165.42222222222222,183.3111111111111,192.78,209.78000000000003,218.88000000000002,226.68,220.86666666666667,223.25,222.14285714285714,224,240.4,238.75,225.66666666666666,245,261,,,,,,,,,,,,,
September,613,562,475,481,,,,,,,,,,97,65,79,83,,,51,,146,151,136,190,155.73333333333332,221,161,210,256,227,169,117,131,,,,,,,,,,,,,,,,,,,532.75,506,478,481,97,81,80.33333333333333,81,81,81,75,75,86.83333333333333,96,101.57142857142857,119.42857142857143,130.3904761904762,150.10476190476192,151.46666666666667,157.97037037037038,180.74814814814815,185.37333333333333,187.67333333333335,184.27333333333334,183.77333333333334,183.0814814814815,186.5,181.57142857142858,185,180,161,139,124,131,,,,,,,,,,,,,
