trail_name,feature_name,edge_uid,elastic_net_coefficient,abs_elastic_net_coefficient,screen_rank,n_train_months,train_pearson,abs_train_pearson,mean_trip_count,coefficient_rank
Ashokan High Point Trail,edge_513426526,513426526,1.6780212420570852,1.6780212420570852,12,43,0.8324696071571284,0.8324696071571284,172.90697674418604,1
Ashokan High Point Trail,edge_515146143,515146143,1.4611946820551769,1.4611946820551769,83,29,0.7979061357324463,0.7979061357324463,34.13793103448276,2
Ashokan High Point Trail,edge_498990350,498990350,1.4259989008488079,1.4259989008488079,72,31,0.8015168260304265,0.8015168260304265,128.06451612903226,3
Ashokan High Point Trail,edge_513426329,513426329,1.3367623042736578,1.3367623042736578,78,43,0.7992165077948772,0.7992165077948772,182.32558139534885,4
Ashokan High Point Trail,edge_513531443,513531443,1.2651354397626982,1.2651354397626982,52,43,0.8091920489827901,0.8091920489827901,64.18604651162791,5
Ashokan High Point Trail,edge_510947697,510947697,1.2431800363573233,1.2431800363573233,69,19,0.8024824820937174,0.8024824820937174,14.736842105263158,6
Ashokan High Point Trail,edge_511265179,511265179,1.21514898600119,1.21514898600119,45,41,0.8109484505265903,0.8109484505265903,50.853658536585364,7
Ashokan High Point Trail,edge_514163559,514163559,1.2058076975091634,1.2058076975091634,4,42,0.8469502004183743,0.8469502004183743,60.11904761904762,8
Ashokan High Point Trail,edge_515273988,515273988,1.1731833084616492,1.1731833084616492,1,38,0.8743121340874014,0.8743121340874014,44.73684210526316,9
Ashokan High Point Trail,edge_515273982,515273982,1.1601082111212588,1.1601082111212588,5,34,0.8415421655406277,0.8415421655406277,25.441176470588236,10
Ashokan High Point Trail,edge_515273984,515273984,1.1488944754444268,1.1488944754444268,2,39,0.8544321487076086,0.8544321487076086,50.76923076923077,11
Ashokan High Point Trail,edge_511263958,511263958,0.9996662343976525,0.9996662343976525,97,43,0.7934226413340575,0.7934226413340575,194.65116279069767,12
Ashokan High Point Trail,edge_514124141,514124141,0.9741685280902646,0.9741685280902646,37,40,0.8153107335353696,0.8153107335353696,52.625,13
Ashokan High Point Trail,edge_514124139,514124139,0.9510969753513612,0.9510969753513612,36,40,0.8157534469608102,0.8157534469608102,49.75,14
Ashokan High Point Trail,edge_514124140,514124140,0.9139477147913538,0.9139477147913538,54,40,0.8087064368473537,0.8087064368473537,52.125,15
Ashokan High Point Trail,edge_514124148,514124148,0.9137646174808554,0.9137646174808554,24,40,0.8201268963385987,0.8201268963385987,52.25,16
Ashokan High Point Trail,edge_511263956,511263956,0.8952183422005353,0.8952183422005353,88,43,0.7961394106382863,0.7961394106382863,195.0,17
Ashokan High Point Trail,edge_513425601,513425601,0.8380435103533304,0.8380435103533304,75,41,0.7999669500931533,0.7999669500931533,77.4390243902439,18
Ashokan High Point Trail,edge_511265178,511265178,0.8287921067206393,0.8287921067206393,31,42,0.8167124711920388,0.8167124711920388,56.30952380952381,19
Ashokan High Point Trail,edge_511263966,511263966,0.8219626375798738,0.8219626375798738,95,43,0.7941053466248944,0.7941053466248944,195.0,20
Ashokan High Point Trail,edge_512539306,512539306,0.8133648774803687,0.8133648774803687,82,43,0.7981187951956645,0.7981187951956645,225.69767441860466,21
Ashokan High Point Trail,edge_513425667,513425667,0.7987429103659331,0.7987429103659331,15,42,0.8279683542057114,0.8279683542057114,115.35714285714286,22
Ashokan High Point Trail,edge_511263780,511263780,0.7959001353325412,0.7959001353325412,70,43,0.8023855342678429,0.8023855342678429,196.04651162790697,23
Ashokan High Point Trail,edge_511263776,511263776,0.7918775550340126,0.7918775550340126,92,43,0.7956006706105249,0.7956006706105249,197.2093023255814,24
Ashokan High Point Trail,edge_514176325,514176325,0.7866248805378382,0.7866248805378382,10,42,0.8335747473415513,0.8335747473415513,79.4047619047619,25
Ashokan High Point Trail,edge_511263777,511263777,0.7854118782260852,0.7854118782260852,74,43,0.7999996512381502,0.7999996512381502,194.7674418604651,26
Ashokan High Point Trail,edge_513425596,513425596,0.7803371863329194,0.7803371863329194,7,43,0.8391676071280908,0.8391676071280908,116.74418604651163,27
