edge_uid,n_train_observed,n_train_months,train_pearson,abs_train_pearson,mean_trip_count,std_trip_count,min_trip_count,max_trip_count,trail_name,screen_rank
515273988,38,38,0.8743121340874014,0.8743121340874014,44.73684210526316,34.2870901640886,5.0,125.0,Ashokan High Point Trail,1
515273984,39,39,0.8544321487076086,0.8544321487076086,50.76923076923077,41.01569759729453,5.0,155.0,Ashokan High Point Trail,2
513425586,43,43,0.8514820212651515,0.8514820212651515,213.13953488372093,139.1172135792844,5.0,540.0,Ashokan High Point Trail,3
514163559,42,42,0.8469502004183743,0.8469502004183743,60.11904761904762,44.4956574373069,5.0,160.0,Ashokan High Point Trail,4
515273982,34,34,0.8415421655406277,0.8415421655406277,25.441176470588236,16.98339862562866,5.0,70.0,Ashokan High Point Trail,5
514176322,43,43,0.8395994209188596,0.8395994209188596,88.83720930232558,56.954840185870125,5.0,210.0,Ashokan High Point Trail,6
513425596,43,43,0.8391676071280908,0.8391676071280908,116.74418604651163,91.89722339534578,5.0,400.0,Ashokan High Point Trail,7
513425675,43,43,0.8366810482327816,0.8366810482327816,100.81395348837209,67.38243935921128,5.0,230.0,Ashokan High Point Trail,8
514176323,42,42,0.8364929217759176,0.8364929217759176,85.5952380952381,53.8199616262788,10.0,200.0,Ashokan High Point Trail,9
514176325,42,42,0.8335747473415513,0.8335747473415513,79.4047619047619,48.88017181110753,10.0,200.0,Ashokan High Point Trail,10
515092844,43,43,0.8330709934702245,0.8330709934702245,382.6744186046512,124.90638798148996,145.0,620.0,Ashokan High Point Trail,11
513426526,43,43,0.8324696071571284,0.8324696071571284,172.90697674418604,64.07057639579905,45.0,310.0,Ashokan High Point Trail,12
515092845,43,43,0.8301910966731764,0.8301910966731764,336.51162790697674,116.83593953203973,120.0,550.0,Ashokan High Point Trail,13
513425584,43,43,0.8283320232585746,0.8283320232585746,230.11627906976744,149.39356926657177,5.0,560.0,Ashokan High Point Trail,14
513425667,42,42,0.8279683542057114,0.8279683542057114,115.35714285714286,76.93355429852103,10.0,280.0,Ashokan High Point Trail,15
499519341,42,42,0.8276854764024842,0.8276854764024842,57.26190476190476,46.357602330624985,5.0,165.0,Ashokan High Point Trail,16
515092851,43,43,0.8255736991891837,0.8255736991891837,377.09302325581393,124.56702421425456,155.0,585.0,Ashokan High Point Trail,17
515092849,43,43,0.8251237960337903,0.8251237960337903,372.6744186046512,120.7188234287059,145.0,595.0,Ashokan High Point Trail,18
514176296,43,43,0.8237055435869376,0.8237055435869376,99.65116279069767,60.92926567161622,5.0,230.0,Ashokan High Point Trail,19
515092766,43,43,0.8232655558219344,0.8232655558219344,302.4418604651163,149.75921981723124,10.0,545.0,Ashokan High Point Trail,20
514176286,41,41,0.8222753372633128,0.8222753372633128,67.1951219512195,43.084927475971874,5.0,165.0,Ashokan High Point Trail,21
