edge_uid,reported_months,mean_trips,std_trips,log_variance,max_trips
510998375,63,11631.666666666666,13519.33501895854,9.450009463235025,81405.0
510998524,63,11437.698412698413,13011.042699078944,8.176429470989236,76875.0
510843781,63,3735.9523809523807,9579.45705483551,5.50640048602862,59285.0
510843788,63,3359.126984126984,9321.048005406841,5.285011422586926,58000.0
510844290,63,3795.15873015873,9855.308008486609,5.084389839916562,61635.0
510722724,63,2061.6666666666665,2127.5428808081447,4.9344071995333705,7885.0
510722726,63,2059.126984126984,2120.9761788753985,4.852392294316019,7855.0
511052195,63,2050.7936507936506,5330.239449196019,4.815393705521097,25205.0
510722733,63,2152.3809523809523,2232.3044033708206,4.742867775085064,8290.0
510722743,63,1707.936507936508,1511.6607602131683,4.538492607761248,4870.0
511061987,63,1234.920634920635,3859.798746640468,4.514070494203514,20520.0
510722871,63,2056.746031746032,2115.1519732500724,4.43624437027161,7855.0
511061900,63,1165.1587301587301,3665.65269110669,4.36370729025802,19810.0
511061985,63,1213.5714285714287,3800.1884958099954,4.337907261018629,20240.0
510844223,63,2781.6666666666665,6424.351416993957,4.283126781714613,25510.0
511061898,63,1152.063492063492,3651.599366221274,4.272501643901855,20065.0
510855854,63,1857.7777777777778,5374.82856274068,4.132030441528026,35645.0
512399411,63,447.6984126984127,731.4622040578597,4.1297785833800065,3985.0
510722767,63,1833.4126984126983,1740.1218499689542,4.092799586987945,5395.0
510722866,63,2053.7301587301586,2104.112901778472,4.022937579564119,7835.0
510721709,63,1741.7460317460318,2191.0844197474007,4.011697620193016,11740.0
510740535,63,1678.6507936507937,1952.919693100813,4.011001935791003,11015.0
511044646,63,4907.142857142857,6690.717011234594,4.0061592265319925,47620.0
510722794,63,1790.873015873016,1696.482732312447,4.002763219367068,5730.0
510723013,63,1765.3968253968253,1715.0666077508527,3.9940611238509875,5140.0
510722789,63,1788.968253968254,1739.9701422007583,3.9751142022567727,5195.0
510722764,63,1757.7777777777778,1796.6664422367046,3.9390755789265346,6315.0
510722758,63,1823.6507936507937,1711.9982680004257,3.8320400374870935,5690.0
512403203,63,1246.984126984127,4384.323571220918,3.809132157871242,23770.0
510722746,63,2125.9523809523807,2195.27642780358,3.8044229775416496,7860.0
510843708,63,2594.126984126984,6691.088533101957,3.790910324668943,32685.0
512397979,63,1160.952380952381,4147.296521009769,3.75711575592698,22915.0
510722762,63,1475.952380952381,1394.9794359516957,3.719795311901817,4325.0
510722760,63,1825.952380952381,1851.1057848562061,3.7106748628214903,6470.0
510722759,63,2162.6190476190477,2225.810627458849,3.6991571142178374,7960.0
512397975,63,1159.126984126984,4144.48677118388,3.6970597940484784,22905.0
510722771,63,2055.5555555555557,2066.292087975836,3.664965175282403,6510.0
511060159,63,1183.6507936507937,3777.743844347764,3.65079673631978,21320.0
510722765,63,1849.3650793650793,1867.976413313713,3.6328331016844646,6520.0
510996913,63,14360.952380952382,10776.71484958699,3.629053808740657,60695.0
510855542,63,1063.2539682539682,3169.057705519327,3.564190465685415,15185.0
510722777,63,972.2222222222222,1055.5902559849944,3.497243114640935,5315.0
